customer_id,purhcase_date,recency,online_purchases,store_purchases,complaints,calls,intercoms
20201701,09-04-2012,58,8,4,0,3,11
20201702,03-08-2014,38,1,2,0,3,11
20201703,8/21/2013,26,8,10,0,3,11
20201704,02-10-2014,26,2,4,0,3,11
20201705,1/19/2014,94,5,6,0,3,11
20201706,09-09-2013,16,6,10,5,3,11
20201707,11/13/2012,34,7,7,0,3,11
20201708,05-08-2013,32,4,4,0,3,11
20201709,06-06-2013,19,3,2,3,3,11
20201710,3/13/2014,68,1,0,5,3,11
20201711,11/15/2013,11,1,2,0,3,11
20201712,11/13/2012,59,2,3,6,3,11
20201713,11/15/2013,82,3,8,0,3,11
20201714,11/15/2013,53,6,5,0,3,11
20201715,10-10-2012,38,1,3,0,3,11
20201716,11/24/2012,23,7,12,0,3,11
20201717,12/24/2012,51,3,3,7,3,11
20201718,8/31/2012,20,4,6,0,3,11
20201719,3/28/2013,91,11,9,4,3,11
20201720,11-03-2012,86,2,3,0,3,11
20201721,08-08-2012,41,4,5,0,3,11
20201722,01-06-2013,42,0,0,7,3,11
20201723,12/23/2012,63,2,9,4,3,11
20201724,01-11-2014,0,6,9,6,3,11
20201725,3/18/2013,69,7,5,0,3,11
20201726,01-02-2013,89,2,3,0,3,11
20201727,5/27/2013,4,5,4,0,3,11
20201728,2/20/2013,19,27,0,4,3,11
20201729,5/31/2013,26,2,4,0,3,11
20201730,11/22/2013,96,6,10,5,3,11
20201731,5/22/2014,34,3,3,8,3,11
20201732,05-11-2013,56,2,3,0,3,11
20201733,10-10-2012,31,2,4,0,3,11
20201734,10/29/2012,8,4,6,3,3,11
20201735,2/20/2013,4,3,9,5,3,11
20201736,8/29/2013,55,2,3,0,3,11
20201737,12/31/2013,37,5,12,2,3,11
20201738,09-02-2013,76,3,2,5,3,11
20201739,02-11-2014,99,1,3,0,3,11
20201740,02-01-2013,53,7,5,0,3,11
20201741,4/29/2013,3,8,5,0,3,11
20201742,03-12-2013,88,2,3,0,3,11
20201743,12/24/2012,4,0,3,7,3,11
20201744,11-05-2013,80,1,4,0,3,11
20201745,10-02-2013,19,2,3,0,3,11
20201746,6/28/2014,72,2,9,3,3,11
20201747,11-09-2012,24,3,3,0,3,11
20201748,5/24/2013,92,2,2,0,3,11
20201749,01-01-2014,96,2,4,0,3,11
20201750,11-08-2012,39,5,12,0,3,11
20201751,05-12-2014,29,4,10,0,3,11
20201752,08-11-2012,2,6,13,0,3,11
20201753,01-02-2013,54,2,3,0,3,11
20201754,06-07-2014,54,4,7,0,3,11
20201755,06-12-2013,57,4,10,0,3,11
20201756,11/19/2012,55,3,13,0,3,11
20201757,04-02-2013,30,5,10,0,3,11
20201758,4/28/2014,31,1,4,2,3,11
20201759,6/17/2013,57,2,3,0,3,11
20201760,03-03-2014,63,8,6,3,3,11
20201761,07-04-2013,12,3,11,0,3,11
20201762,09-07-2012,18,4,12,1,3,11
20201763,2/18/2013,26,8,10,0,3,11
20201764,06-11-2013,8,7,8,1,3,11
20201765,12-06-2013,29,7,4,1,3,11
20201766,5/21/2013,75,1,2,1,3,11
20201767,05-11-2014,0,1,2,1,3,11
20201768,3/19/2014,19,11,10,1,3,11
20201769,9/27/2013,4,5,10,11,3,11
20201770,04-08-2013,90,2,5,1,3,11
20201771,09-11-2012,1,4,6,0,3,11
20201772,9/14/2012,25,3,3,0,3,11
20201773,3/17/2013,29,10,13,0,3,11
20201774,04-05-2013,88,9,8,0,3,11
20201775,4/30/2014,58,2,4,0,3,11
20201776,12/19/2012,68,1,2,0,3,11
20201777,8/27/2012,34,7,5,0,3,11
20201778,10-12-2012,40,5,9,0,3,11
20201779,09-04-2013,12,0,3,1,3,11
20201780,01-02-2013,9,10,8,0,3,11
20201781,8/29/2012,87,3,4,3,3,11
20201782,6/23/2013,5,1,2,0,3,11
20201783,07-03-2013,87,3,3,0,3,11
20201784,05-11-2013,56,2,3,0,3,11
20201785,2/25/2014,18,3,13,0,3,11
20201786,08-11-2013,95,1,4,0,3,11
20201787,7/16/2013,48,3,4,0,3,11
20201788,5/28/2014,3,6,6,0,3,11
20201789,05-12-2014,70,5,7,0,3,7
20201790,1/21/2014,79,2,5,2,3,7
20201791,11/19/2012,4,7,8,0,3,7
20201792,5/27/2014,45,1,2,0,3,7
20201793,11/23/2013,87,2,8,0,3,7
20201794,3/23/2014,69,1,3,0,3,7
20201795,5/24/2014,84,3,3,0,3,7
20201796,5/22/2014,30,2,3,1,3,7
20201797,11/22/2012,72,7,6,2,3,7
20201798,04-11-2013,37,2,3,0,3,7
20201799,12-01-2013,44,5,12,0,3,7
20201800,6/20/2013,32,5,7,0,3,7
20201801,7/23/2013,0,2,3,0,3,7
20201802,3/30/2014,43,2,3,0,3,7
20201803,4/20/2013,59,9,11,0,3,7
20201804,5/17/2013,68,6,6,0,3,7
20201805,05-08-2014,35,3,5,0,5,7
20201806,12-10-2013,94,1,3,0,3,7
20201807,9/24/2013,15,4,4,0,3,7
20201808,02-02-2013,56,6,12,0,3,7
20201809,12/19/2012,17,3,3,0,3,7
20201810,12-07-2012,18,5,4,0,3,7
20201811,11-02-2013,46,6,11,0,3,7
20201812,11-10-2012,40,7,5,0,3,7
20201813,6/25/2014,27,8,8,0,3,6
20201814,01-02-2013,95,6,11,0,3,6
20201815,12-12-2012,19,6,6,0,3,6
20201816,09-10-2013,27,2,3,0,3,3
20201817,1/24/2014,25,4,5,0,3,11
20201818,2/19/2013,74,9,5,0,3,11
20201819,07-11-2013,85,1,3,0,2,11
20201820,11/14/2013,37,2,3,0,4,11
20201821,6/20/2013,65,6,10,0,5,11
20201822,2/24/2014,13,2,3,0,3,11
20201823,09-04-2013,63,1,3,0,3,3
20201824,4/22/2013,83,1,3,0,3,11
20201825,03-12-2013,69,6,13,0,3,11
20201826,2/18/2013,87,3,7,0,6,11
20201827,4/21/2013,37,3,6,0,3,11
20201828,06-08-2014,51,2,4,0,3,11
20201829,07-11-2013,23,6,7,0,3,11
20201830,05-10-2014,72,6,10,0,0,2
20201831,9/30/2013,10,5,5,0,3,11
20201832,03-10-2013,42,11,6,0,3,11
20201833,02-10-2014,10,7,9,0,3,11
20201834,08-11-2013,96,6,7,0,3,2
20201835,8/14/2013,51,5,5,0,3,2
20201836,3/17/2013,21,4,13,0,0,2
20201837,08-08-2012,31,1,3,0,3,11
20201838,07-07-2013,61,2,2,0,3,11
20201839,5/19/2014,37,1,2,0,3,11
20201840,7/28/2013,74,2,3,0,3,2
20201841,10/19/2012,46,5,12,0,3,2
20201842,11/14/2013,4,3,7,0,3,2
20201843,4/19/2013,73,5,10,0,3,11
20201844,8/28/2013,47,8,9,0,3,11
20201845,3/19/2013,13,4,3,0,3,11
20201846,10/18/2012,36,3,6,0,3,5
20201847,10/28/2012,47,2,3,0,3,3
20201848,8/28/2013,49,1,2,1,3,11
20201849,8/22/2012,94,4,4,0,3,3
20201850,6/21/2014,65,2,4,0,3,5
20201851,4/24/2014,59,4,7,0,3,11
20201852,03-07-2014,96,8,6,0,3,6
20201853,12/14/2012,28,7,5,0,3,3
20201854,05-12-2014,12,3,4,0,3,5
20201855,10-09-2012,57,8,11,0,0,11
20201856,2/19/2013,10,10,6,0,3,11
20201857,07-08-2013,4,6,5,0,3,11
20201858,09-12-2013,49,0,3,0,3,6
20201859,10/17/2013,3,1,6,0,3,11
20201860,8/20/2013,64,3,10,0,3,6
20201861,07-01-2013,0,1,2,0,3,7
20201862,11-05-2012,20,10,9,0,3,11
20201863,01-05-2014,91,3,4,0,3,7
20201864,05-01-2013,9,5,10,0,3,7
20201865,03-01-2014,98,0,0,0,3,11
20201866,11/13/2013,83,2,4,0,3,2
20201867,11/18/2013,27,6,4,0,3,11
20201868,8/28/2013,63,3,6,0,3,4
20201869,11-02-2013,46,3,7,0,3,4
20201870,2/25/2014,84,2,3,0,0,4
20201871,4/21/2014,58,1,3,0,0,4
20201872,7/13/2013,78,2,3,0,3,44
20201873,4/21/2014,4,3,3,0,3,2
20201874,1/30/2014,17,2,3,0,3,2
20201875,04-04-2014,77,2,2,0,3,2
20201876,09-12-2012,56,11,8,0,3,11
20201877,12/16/2012,79,9,5,0,3,11
20201878,5/23/2014,90,2,3,0,0,11
20201879,6/24/2014,96,0,3,0,3,5
20201880,12-01-2013,44,5,12,0,3,3
20201881,05-11-2014,81,4,4,0,3,4
20201882,05-10-2014,77,2,3,0,3,2
20201883,9/28/2013,21,6,13,0,3,6
20201884,1/22/2014,16,1,3,0,3,2
20201885,6/15/2014,80,2,3,0,3,2
20201886,12-05-2012,45,1,2,0,3,11
20201887,03-08-2014,63,1,4,0,3,11
20201888,08-02-2013,34,7,8,0,3,11
20201889,3/19/2013,14,4,9,0,3,11
20201890,2/23/2013,13,2,3,0,3,11
20201891,09-09-2012,52,1,2,0,3,2
20201892,5/17/2013,98,8,12,0,3,11
20201893,9/26/2013,99,2,2,1,3,2
20201894,5/30/2013,93,3,3,0,3,2
20201895,2/18/2013,38,5,6,0,3,2
20201896,12/29/2013,24,1,2,0,0,2
20201897,5/13/2014,80,7,12,0,3,11
20201898,9/19/2013,82,4,6,0,3,2
20201899,1/17/2013,20,5,5,0,3,2
20201900,3/31/2014,81,5,0,0,6,2
20201901,6/29/2014,50,8,7,0,3,11
20201902,12-09-2013,60,4,9,0,5,11
20201903,10/14/2013,63,11,9,0,34,11
20201904,11-02-2012,54,7,10,0,4,11
20201905,7/17/2013,72,1,3,0,3,11
20201906,11-10-2012,5,0,2,0,3,11
20201907,12-08-2013,88,1,3,0,3,11
20201908,5/13/2013,50,4,5,0,2,11
20201909,06-08-2014,99,2,3,0,2,11
20201910,09-10-2012,17,11,9,0,2,11
20201911,3/31/2013,11,3,6,0,2,11
20201912,3/18/2014,18,4,9,0,28,11
20201913,10-05-2012,70,5,5,0,8,11
20201914,1/21/2013,21,7,8,0,8,11
20201915,05-04-2013,66,3,9,0,88,11
20201916,04-01-2014,79,8,5,0,8,11
20201917,05-12-2014,2,1,2,0,8,11
20201918,11/15/2013,81,8,6,0,3,11
20201919,8/31/2013,24,4,5,0,3,11
20201920,11/14/2012,48,11,11,0,3,11
20201921,04-11-2014,93,1,4,0,3,11
20201922,11/14/2013,56,3,7,0,8,11
20201923,4/14/2014,3,6,11,0,9,11
20201924,01-05-2013,44,4,4,0,3,11
20201925,09-08-2012,38,9,12,0,3,11
20201926,3/26/2013,46,3,4,0,9,11
20201927,10/25/2012,84,8,4,0,9,11
20201928,12-09-2012,27,2,11,0,3,11
20201929,08-08-2012,72,3,8,0,9,11
20201930,2/16/2014,66,1,2,0,3,11
20201931,3/20/2013,30,5,8,0,3,11
20201932,01-05-2013,2,6,4,0,3,11
20201933,5/15/2013,65,1,2,0,3,11
20201934,4/16/2014,37,1,3,0,3,11
20201935,3/23/2013,89,7,11,0,3,11
20201936,12-09-2013,49,2,4,0,3,11
20201937,12-04-2013,46,1,3,0,3,11
20201938,10-04-2013,32,5,11,0,3,11
20201939,12/26/2013,54,3,3,0,3,11
20201940,5/17/2014,23,1,2,0,0,11
20201941,10/28/2013,98,6,10,0,3,11
20201942,12/23/2012,97,6,4,0,3,11
20201943,7/31/2013,75,2,2,0,3,11
20201944,11/28/2013,8,3,9,0,3,11
20201945,8/17/2012,37,11,8,0,3,11
20201946,06-05-2014,31,1,3,0,3,11
20201947,5/20/2013,40,5,6,0,3,11
20201948,01-09-2013,74,9,6,0,3,11
20201949,8/31/2012,90,4,5,0,3,11
20201950,10/29/2012,57,9,6,0,3,11
20201951,9/16/2013,59,2,3,0,3,11
20201952,10/27/2013,52,1,3,0,3,11
20201953,04-05-2013,5,6,13,0,3,11
20201954,9/22/2012,92,3,5,0,3,11
20201955,8/29/2012,77,4,11,0,3,11
20201956,10/13/2012,35,1,3,0,3,11
20201957,10/16/2012,48,8,5,0,3,11
20201958,10/22/2012,97,3,7,0,3,11
20201959,06-04-2013,95,2,4,0,3,11
20201960,12-08-2013,24,1,2,0,3,11
20201961,10-10-2012,60,1,2,0,3,11
20201962,5/22/2013,46,10,10,0,3,11
20201963,6/17/2014,85,4,6,0,3,11
20201964,11/23/2012,31,1,2,0,3,11
20201965,02-03-2013,9,5,4,0,3,11
20201966,3/14/2013,30,3,3,0,3,11
20201967,6/26/2014,47,3,8,0,4,11
20201968,10/15/2012,70,3,2,0,3,11
20201969,6/19/2013,13,3,6,0,3,11
20201970,10-04-2013,11,2,2,0,3,11
20201971,9/22/2012,31,3,5,0,3,11
20201972,3/20/2014,15,3,4,1,3,11
20201973,02-04-2014,2,4,4,0,3,11
20201974,04-06-2014,55,2,4,0,3,11
20201975,02-06-2013,38,2,4,0,3,11
20201976,9/16/2013,86,6,12,0,3,11
20201977,1/17/2013,56,7,10,0,3,11
20201978,4/30/2014,29,3,5,0,3,11
20201979,04-02-2013,30,3,8,0,3,11
20201980,4/21/2013,64,9,9,0,3,11
20201981,02-11-2013,46,3,4,0,3,11
20201982,10/25/2012,84,8,4,0,3,11
20201983,8/31/2012,20,4,6,0,5,11
20201984,03-01-2014,74,5,8,0,3,11
20201985,4/17/2014,18,2,3,0,3,11
20201986,07-12-2013,75,3,2,0,3,11
20201987,1/29/2013,17,6,13,0,3,11
20201988,01-08-2013,88,6,12,0,3,11
20201989,05-12-2014,19,5,5,0,3,11
20201990,6/13/2013,62,7,5,0,3,11
20201991,07-04-2013,11,1,3,0,3,11
20201992,12/27/2013,74,3,3,0,3,11
20201993,10/31/2012,32,2,9,0,3,11
20201994,1/15/2014,76,3,3,0,3,11
20201995,03-12-2013,6,0,3,0,3,11
20201996,8/23/2012,62,3,11,0,3,11
20201997,03-07-2013,20,1,3,0,3,11
20201998,1/13/2013,43,3,3,0,3,11
20201999,01-12-2013,45,2,6,0,3,11
20202000,3/17/2014,34,8,12,0,3,11
20202001,4/16/2014,53,3,3,0,3,11
20202002,10-12-2013,44,9,9,0,3,11
20202003,03-01-2014,89,2,3,0,3,11
20202004,4/13/2014,43,5,4,0,3,11
20202005,12/27/2013,68,3,3,0,3,11
20202006,3/28/2013,44,6,9,0,3,11
20202007,9/18/2012,64,3,3,0,3,11
20202008,03-05-2014,85,2,10,0,3,11
20202009,09-10-2013,93,8,6,0,3,11
20202010,4/27/2013,12,4,4,0,3,11
20202011,1/18/2014,86,3,3,0,3,11
20202012,10/28/2013,28,2,3,0,3,11
20202013,06-03-2013,69,6,12,0,3,11
20202014,02-06-2013,42,6,10,0,3,11
20202015,12/17/2013,13,3,6,0,3,11
20202016,03-11-2014,86,2,3,0,3,11
20202017,7/29/2013,59,3,3,0,3,11
20202018,8/14/2012,30,4,6,0,3,11
20202019,7/16/2013,33,1,3,0,3,11
20202020,8/23/2013,67,2,10,0,3,11
20202021,1/17/2013,23,3,12,0,3,11
20202022,07-01-2013,81,1,2,0,3,11
20202023,02-09-2014,6,1,2,0,3,11
20202024,02-07-2013,41,10,5,0,3,11
20202025,01-11-2013,78,8,8,0,3,11
20202026,07-05-2013,49,4,5,0,3,11
20202027,07-02-2013,39,2,4,0,3,11
20202028,11-07-2013,3,1,3,0,3,11
20202029,05-09-2013,37,1,3,0,3,11
20202030,2/13/2013,22,3,4,0,3,11
20202031,4/16/2013,79,1,2,0,3,11
20202032,09-11-2013,46,1,3,0,3,11
20202033,04-03-2013,82,9,5,0,3,11
20202034,01-10-2013,10,1,2,0,3,11
20202035,6/30/2013,51,2,3,0,3,11
20202036,09-12-2012,38,4,12,0,3,11
20202037,12-06-2012,10,11,6,0,3,11
20202038,11-12-2012,14,1,3,0,3,11
20202039,03-03-2013,18,7,8,0,3,11
20202040,9/26/2013,36,4,4,0,3,11
20202041,08-10-2012,95,4,11,0,3,11
20202042,12-07-2013,11,2,4,0,3,11
20202043,11/23/2012,65,4,11,0,3,11
20202044,6/13/2013,71,3,8,0,3,11
20202045,5/15/2015,13,1,2,0,3,11
20202046,11-10-2013,58,2,4,0,3,11
20202047,6/23/2013,65,1,3,0,3,11
20202048,6/16/2014,0,4,6,0,3,11
20202049,12/25/2012,33,2,3,0,3,11
20202050,01-03-2014,90,1,2,0,3,11
20202051,12/17/2013,95,6,9,0,3,11
20202052,01-10-2013,93,8,8,0,3,11
20202053,10/28/2013,38,4,5,0,3,11
20202054,10/27/2012,18,3,10,0,3,11
20202055,12/22/2012,57,11,5,0,3,11
20202056,11/29/2013,45,2,3,1,3,11
20202057,05-11-2013,61,6,4,0,3,11
20202058,12-12-2012,6,3,8,0,3,11
20202059,8/20/2013,65,5,5,1,3,11
20202060,10-08-2013,52,4,4,0,3,11
20202061,9/28/2012,87,4,10,0,3,11
20202062,3/22/2014,38,6,10,0,3,11
20202063,2/24/2014,53,4,4,0,3,11
20202064,11/23/2012,31,1,2,0,3,11
20202065,12/28/2012,67,6,6,0,3,11
20202066,8/21/2012,65,6,9,0,3,11
20202067,5/17/2013,64,4,11,0,3,11
20202068,3/16/2013,82,2,3,0,3,11
20202069,11/17/2012,27,4,8,0,3,11
20202070,12-01-2012,63,2,8,0,3,11
20202071,4/22/2014,66,2,3,0,3,11
20202072,10/28/2012,69,5,4,0,3,11
20202073,8/29/2013,52,1,2,0,3,11
20202074,11-11-2012,45,4,12,0,3,11
20202075,6/22/2013,2,3,3,0,3,11
20202076,8/18/2012,86,3,2,0,3,11
20202077,3/18/2013,23,1,2,0,3,11
20202078,12/30/2012,13,1,3,0,3,11
20202079,10-02-2013,14,3,10,0,3,11
20202080,6/14/2013,92,1,3,0,3,11
20202081,01-08-2013,38,1,2,0,3,11
20202082,11/14/2013,74,5,3,0,3,11
20202083,12-12-2012,14,4,6,0,3,11
20202084,8/22/2012,94,4,4,0,3,11
20202085,3/30/2014,33,0,2,0,3,11
20202086,5/15/2013,32,1,2,0,3,11
20202087,10/16/2013,11,7,4,0,3,11
20202088,10-05-2012,78,4,13,0,3,11
20202089,8/30/2012,56,2,3,0,3,11
20202090,05-08-2013,57,2,12,0,3,11
20202091,01-03-2014,7,5,8,0,3,11
20202092,12-09-2013,0,3,6,0,3,11
20202093,05-04-2014,66,5,6,0,3,11
20202094,4/18/2013,86,4,4,0,3,11
20202095,2/25/2014,80,5,12,0,3,11
20202096,10-06-2013,56,4,10,0,3,11
20202097,9/15/2012,18,3,4,0,3,11
20202098,8/31/2012,51,1,2,0,3,11
20202099,12/24/2012,71,1,3,0,3,11
20202100,11-09-2012,71,2,3,0,3,11
20202101,3/23/2013,80,2,3,0,3,11
20202102,9/27/2012,2,9,9,0,3,11
20202103,8/15/2013,83,2,5,0,3,11
20202104,03-11-2013,29,5,4,0,3,11
20202105,10/22/2013,11,6,6,0,3,11
20202106,06-09-2014,55,1,3,0,3,11
20202107,8/30/2012,19,2,4,0,3,11
20202108,5/30/2014,1,5,5,0,8,11
20202109,06-06-2013,19,3,2,0,3,11
20202110,10/17/2012,28,7,8,0,3,11
20202111,11/17/2012,76,3,3,0,3,11
20202112,11-09-2012,50,4,6,0,3,11
20202113,3/30/2013,1,11,12,0,3,11
20202114,8/22/2012,90,5,7,0,6,11
20202115,1/23/2013,83,5,8,0,3,11
20202116,3/31/2014,73,3,10,0,3,11
20202117,11/20/2013,24,2,3,0,3,11
20202118,2/14/2014,11,2,11,0,3,11
20202119,2/22/2013,33,7,9,0,3,11
20202120,03-05-2013,4,10,8,0,3,11
20202121,05-06-2014,14,2,3,0,3,11
20202122,5/22/2014,30,2,3,0,3,11
20202123,06-05-2014,75,1,2,0,3,11
20202124,06-04-2013,26,3,8,0,3,11
20202125,4/13/2013,77,7,5,0,3,11
20202126,12-04-2013,8,1,2,0,3,11
20202127,4/24/2014,42,6,13,0,3,11
20202128,04-05-2014,28,2,10,0,3,11
20202129,05-04-2014,52,1,4,0,7,11
20202130,4/25/2013,1,5,12,0,3,11
20202131,05-09-2013,1,2,9,0,3,11
20202132,10/29/2012,42,8,7,0,3,11
20202133,1/23/2013,76,9,9,0,0,11
20202134,11/25/2013,27,8,13,0,3,11
20202135,02-02-2014,28,1,4,0,3,11
20202136,6/21/2013,49,1,3,0,0,11
20202137,12/21/2013,12,6,12,0,3,11
20202138,09-07-2013,14,9,5,0,3,11
20202139,8/22/2013,89,2,4,0,3,11
20202140,02-07-2013,96,2,3,0,3,11
20202141,07-04-2013,56,1,3,0,3,11
20202142,12/20/2013,72,2,5,0,3,11
20202143,08-06-2013,14,0,3,0,3,11
20202144,12/30/2012,13,1,3,0,3,11
20202145,3/17/2014,99,1,3,0,3,11
20202146,7/13/2013,72,1,2,0,3,11
20202147,10-09-2013,92,5,4,0,3,11
20202148,12/29/2013,87,4,7,0,3,11
20202149,06-09-2013,7,2,3,0,3,11
20202150,12/22/2013,91,3,9,0,3,11
20202151,05-02-2013,71,4,11,0,3,11
20202152,2/16/2013,24,8,7,0,3,11
20202153,10/17/2013,17,2,4,0,3,11
20202154,12-01-2013,87,4,8,0,3,11
20202155,09-07-2012,21,9,10,0,3,11
20202156,8/20/2012,90,5,6,0,3,11
20202157,9/15/2012,44,7,9,0,3,11
20202158,04-01-2013,71,4,5,0,3,11
20202159,5/25/2014,52,2,8,0,3,11
20202160,9/25/2012,78,5,6,0,0,11
20202161,01-01-2014,2,2,8,0,3,11
20202162,9/22/2013,60,3,11,0,3,11
20202163,1/28/2014,25,3,3,0,3,11
20202164,6/26/2014,47,3,8,0,3,11
20202165,2/24/2014,46,4,3,0,3,11
20202166,03-03-2014,83,2,9,0,3,11
20202167,4/23/2013,17,5,5,0,0,11
20202168,10/31/2012,13,1,2,0,3,11
20202169,03-06-2014,86,7,8,0,3,11
20202170,8/15/2012,92,7,12,0,0,11
20202171,3/27/2013,47,6,13,0,3,11
20202172,10-10-2013,18,1,2,0,3,11
20202173,08-04-2012,81,8,9,0,0,11
20202174,01-02-2013,91,1,3,0,3,11
20202175,5/18/2014,58,1,2,0,3,11
20202176,2/18/2013,40,8,11,0,3,11
20202177,05-09-2014,67,1,3,0,3,11
20202178,5/23/2014,19,7,8,0,3,11
20202179,10/23/2012,93,6,7,0,3,11
20202180,10/31/2012,41,7,4,0,3,11
20202181,12/30/2013,60,2,2,0,3,11
20202182,08-11-2013,54,2,3,0,3,11
20202183,8/19/2012,26,6,2,0,3,11
20202184,10/30/2013,30,4,5,0,3,11
20202185,10-10-2012,93,5,4,0,0,11
20202186,9/14/2012,35,5,13,0,3,11
20202187,11/14/2013,4,3,7,0,11,11
20202188,6/26/2013,92,7,10,0,3,11
20202189,1/26/2014,24,1,3,0,3,11
20202190,10/28/2012,96,4,4,0,3,11
20202191,9/24/2012,11,2,12,0,5,11
20202192,12-03-2012,99,6,5,0,3,11
20202193,2/22/2013,72,3,13,0,3,11
20202194,01-12-2013,77,2,3,0,3,11
20202195,11/27/2013,85,9,6,0,3,11
20202196,4/13/2013,88,5,11,0,3,11
20202197,04-05-2014,22,2,3,0,3,11
20202198,4/21/2013,83,4,4,0,6,11
20202199,5/22/2014,63,6,11,0,6,11